target_id,run_id,step,layer,match_class,selected_beta,family,kl,nll_damage,delta_b_mean,delta_b_median,delta_b_q10,delta_b_q25,delta_b_q75,delta_b_q90,delta_margin_mean,delta_margin_identity_max_abs,logit_delta_norm_mean,logit_delta_norm_median,cosine_alignment_mean,abs_cosine_alignment_mean,intact_margin_mean,intact_margin_median,intact_margin_std,intact_margin_q10,intact_margin_q25,intact_margin_q75,intact_margin_q90,baseline_nll
r6_s72000_l7,6,72000,7,B,0.4199233213,block,0.4530799256430732,0.535643657048543,-0.17579609155654907,-0.078125,-1.96875,-0.921875,0.7265625,1.549218773841858,-0.17579609155654907,0.0,262.6096496582031,254.0655059814453,-0.0003345130244269967,0.002975547919049859,1.5339372158050537,0.84375,1.864323641674929,0.1171875,0.3359375,1.9140625,3.8984375,3.6699788835313587
r6_s72000_l7,6,72000,7,B,0.4199233213,noise,0.4863787183055171,0.4939390111852573,-0.1356341540813446,-0.0625,-1.764032006263733,-0.7890625,0.6328125,1.4140625,-0.1356341540813446,0.0,281.81488037109375,259.52398681640625,-0.00025000437744893134,0.0025090051349252462,1.5339372158050537,0.84375,1.864323641674929,0.1171875,0.3359375,1.9140625,3.8984375,3.6699788835313587
r6_s72000_l8,6,72000,8,B,0.422209268743,block,0.4070446689923604,0.4836299949222136,-0.23733669519424438,-0.15625,-2.046875,-1.0,0.640625,1.484375,-0.23733669519424438,0.0,252.5886993408203,244.79815673828125,-0.0006570692057721317,0.0031058359891176224,1.5339372158050537,0.84375,1.864323641674929,0.1171875,0.3359375,1.9140625,3.8984375,3.6699788835313587
r6_s72000_l8,6,72000,8,B,0.422209268743,noise,0.4294329517417484,0.45302645365397076,-0.1121954545378685,-0.0234375,-1.625,-0.7578125,0.6328125,1.34375,-0.1121954545378685,0.0,270.7435607910156,251.0143585205078,-0.0001931939332280308,0.002468124497681856,1.5339372158050537,0.84375,1.864323641674929,0.1171875,0.3359375,1.9140625,3.8984375,3.6699788835313587
r6_s72000_l9,6,72000,9,A,0.391422888087,block,0.37108295493655735,0.38378339343600754,-0.04195743054151535,-0.03125,-1.517968773841858,-0.7734375,0.671875,1.486718773841858,-0.04195743054151535,0.0,279.3729248046875,270.7511291503906,-5.552701622946188e-05,0.002434487221762538,1.5339372158050537,0.84375,1.864323641674929,0.1171875,0.3359375,1.9140625,3.8984375,3.6699788835313587
r6_s72000_l9,6,72000,9,A,0.391422888087,noise,0.3817732830842336,0.37318463678713165,-0.058200541883707047,-0.0078125,-1.5234375,-0.703125,0.65625,1.3828125,-0.058200541883707047,0.0,262.905029296875,249.21548461914062,-9.452319500269368e-05,0.0024366374127566814,1.5339372158050537,0.84375,1.864323641674929,0.1171875,0.3359375,1.9140625,3.8984375,3.6699788835313587
r6_s72000_l10,6,72000,10,B,0.442902384351,block,0.4138943354288737,0.4598767492506237,-0.23192384839057922,-0.15625,-1.8125,-0.9140625,0.5078125,1.2265625,-0.23192384839057922,0.0,257.7970275878906,244.20285034179688,-0.0005346528487280011,0.0025999543722718954,1.5339372158050537,0.84375,1.864323641674929,0.1171875,0.3359375,1.9140625,3.8984375,3.6699788835313587
r6_s72000_l10,6,72000,10,B,0.442902384351,noise,0.4360994365480211,0.43312275851214377,-0.08778063207864761,-0.0546875,-1.6328125,-0.796875,0.6640625,1.4375,-0.08778063207864761,0.0,286.4775695800781,279.02178955078125,-0.00019339869322720915,0.0023769522085785866,1.5339372158050537,0.84375,1.864323641674929,0.1171875,0.3359375,1.9140625,3.8984375,3.6699788835313587
r6_s143000_l1,6,143000,1,A,0.664078649987,block,0.7476856973436143,0.7725881205664744,-0.1734483540058136,0.0,-2.25,-1.0,0.75,1.75,-0.1734483540058136,0.0,1002.111083984375,660.1865234375,-0.00015844142762944102,0.001376946223899722,1.4676649570465088,0.75,1.773592034667725,0.0,0.25,2.0,3.75,3.6825049453311496
r6_s143000_l1,6,143000,1,A,0.664078649987,noise,0.7515565046557674,0.7708712418874106,-0.30432581901550293,-0.25,-2.25,-1.25,0.5,1.5,-0.30432581901550293,0.0,1134.5506591796875,871.911865234375,-0.00024213975120801479,0.0011222418397665024,1.4676649570465088,0.75,1.773592034667725,0.0,0.25,2.0,3.75,3.6825049453311496
r6_s143000_l2,6,143000,2,A,0.664078649987,block,0.6894046068191528,0.7000369230906167,-0.2410481721162796,-0.25,-2.25,-1.0,0.75,1.75,-0.2410481721162796,0.0,1088.9266357421875,784.9890747070312,-0.00017233035760000348,0.0012068082578480244,1.4676649570465088,0.75,1.773592034667725,0.0,0.25,2.0,3.75,3.6825049453311496
r6_s143000_l2,6,143000,2,A,0.664078649987,noise,0.6883934118129589,0.7020932833353677,-0.34126338362693787,-0.25,-2.25,-1.25,0.5,1.5,-0.34126338362693787,0.0,992.9816284179688,727.2952880859375,-0.000347565597621724,0.0012932367390021682,1.4676649570465088,0.75,1.773592034667725,0.0,0.25,2.0,3.75,3.6825049453311496
r6_s143000_l3,6,143000,3,A,0.726977669381,block,0.824983086850908,0.8161831167009139,-0.2653537392616272,-0.25,-2.25,-1.25,0.75,1.75,-0.2653537392616272,0.0,1287.649658203125,962.0643310546875,-0.0001805242063710466,0.0010740325087681413,1.4676649570465088,0.75,1.773592034667725,0.0,0.25,2.0,3.75,3.6825049453311496
