target_id,run_id,step,layer,geometry_match,delta_b_standardized_difference,absolute_log_norm_ratio,absolute_cosine_difference,pass_delta_b,pass_norm,pass_cosine,failure_reason
r2_s72000_l2,2,72000,2,False,0.7853446683330554,0.021336958156735086,1.1394964531064034e-05,False,True,True,delta_boundary
r2_s72000_l3,2,72000,3,True,0.28882809502102563,0.05898219870203292,0.0001719389110803604,True,True,True,
r2_s72000_l7,2,72000,7,True,0.3005061183508692,0.020114231619530187,0.00026209489442408085,True,True,True,
r2_s72000_l9,2,72000,9,True,0.3584939601562539,0.03351563369439692,0.00015512085519731045,True,True,True,
r3_s14000_l1,3,14000,1,False,1.3303993288086435,0.03169663215658414,6.205285899341106e-05,False,True,True,delta_boundary
r3_s14000_l10,3,14000,10,True,0.21054959329447182,0.10175797341877146,0.0005498907994478941,True,True,True,
r3_s14000_l2,3,14000,2,False,1.1283355179048495,0.04111340868014146,2.2789929062128067e-05,False,True,True,delta_boundary
r3_s14000_l3,3,14000,3,True,0.47482724040182317,0.07347096028319733,0.0001457731705158949,True,True,True,
r3_s14000_l4,3,14000,4,False,0.5038143940375224,0.14111319701262293,0.00044924509711563587,False,True,True,delta_boundary
r3_s14000_l5,3,14000,5,False,0.5384811510215386,0.11721093134766125,0.0005230826791375875,False,True,True,delta_boundary
r3_s14000_l8,3,14000,8,True,0.09571446486274032,0.03751296886578448,0.00011881929822266102,True,True,True,
