target_id,run_id,step,layer,selected_beta,valid_fraction,comparisons,cosine_mean,cosine_median,cosine_q10,cosine_q90,cosine_sd,directional_disagreement,block_norm_mean,noise_norm_mean,log_noise_block_norm_ratio,family_residual,reversal,block_kl,reveal_kl,block_nll_damage,reveal_nll_damage,mean_kl,mean_nll,delta_boundary_difference,output_log_norm_ratio,output_abs_cosine_difference,resid_base,resid_aug
r2_s72000_l7,2,72000,7,0.341906038116,1.0,13824,-0.0003598838432148,-0.0005358594935387,-0.0464125137776136,0.0464249745011329,0.0363775550763706,1.0003598838432148,14.10491570457816,12.82553431653866,-0.0950853158593682,-0.0407262731481481,False,0.3825724124908447,0.3732463927180678,0.3660224808586971,0.3739258801495588,0.37790940260445627,0.36997418050412795,-0.0392883457243442,-0.0201142316195303,-0.000262094894424,-0.018912459368776724,-0.013626819385882026
r2_s72000_l9,2,72000,9,0.37324227185,1.0,13824,-0.0001777748244117,-0.0003715177444973,-0.0458061926066875,0.046402895078063,0.0359095115868847,1.0001777748244118,19.92195461793906,20.05111695315551,0.0064624898545497,-0.035011574074074,False,0.3535401688681708,0.3652026851971944,0.3771826161278618,0.3642142790335199,0.3593714270326826,0.3706984475806908,0.0468697100877761,-0.0335156336943963,-0.0001551208551973,-0.015578381990032399,-0.02666501213631287
r2_s72000_l10,2,72000,10,0.52014326253,1.0,13824,-0.0002697743676123,-0.0002873927442124,-0.0466609742492437,0.0458589900285005,0.0361644483786259,1.0002697743676123,33.91574214067724,33.81599524865548,-0.0029453537728698,0.0251012731481481,True,0.5688886642456055,0.5649002812526844,0.5656325022379556,0.5702363473397711,0.566894472749145,0.5679344247888634,0.1656777560710907,0.0213226947720132,-0.0001030871644616,0.04534919335051137,0.031057085228741434
r2_s143000_l1,2,143000,1,0.734741719419,1.0,13824,8.659563816527372e-05,-0.0001298549032071,-0.0462905086576938,0.0468320231884717,0.0361119692834676,0.9999134043618348,5.672214910801914,8.142332611984953,0.3614970223457147,-0.0036892361111111,False,1.0257128013504877,1.021167112721337,1.0317671828799777,1.0359454066665088,1.0234399570359125,1.0338562947732433,-0.1667118668556213,0.2429284203729095,-0.0004444061778485,0.012633647829817225,0.001048215652614396
r2_s143000_l2,2,143000,2,0.75,1.0,13824,5.033653769269294e-05,-7.99375629867427e-05,-0.0460195895284414,0.0464179918169975,0.0362322754025577,0.9999496634623072,7.489000682615572,9.555679361956814,0.2437003069008856,-0.007740162037037,False,1.2016478247112696,1.1993317957277652,1.209634330537584,1.2143381524969032,1.2004898102195174,1.2119862415172435,-0.0700254142284393,-0.3266489045095503,0.0004483173834159,0.024484332013822198,0.01907805059217898
r2_s143000_l3,2,143000,3,0.48739423558,1.0,13824,0.0003620136461671,4.755847476189956e-05,-0.045748708024621,0.0470559131354093,0.036193372645073,0.9996379863538328,9.48968109033174,7.71726487390697,-0.206744996928804,-0.0593894675925925,False,1.250755018658108,1.2221425771713257,1.227257172266642,1.2518015702565513,1.2364487979147167,1.2395293712615967,0.180694580078125,-0.2684544251316897,0.0005390325095504,-0.02731217809979486,-0.012098687851639159
r2_s143000_l4,2,143000,4,0.28795731005,1.0,13824,0.000267047371443,0.0001966022318811,-0.0458494182676076,0.0471598614007234,0.0362330033197748,0.9997329526285568,6.739612161388828,4.622918854726271,-0.3769760881101999,-0.0237991898148148,False,0.3945920136239793,0.4102195931805504,0.4097302754720051,0.394512874108774,0.40240580340226484,0.40212157479038957,-0.0396762415766716,0.0607401364295448,-0.0002248202217742,-0.009384537252776763,0.016219517650364054
r2_s143000_l6,2,143000,6,0.324685111242,1.0,13824,-9.983071773811005e-05,-2.4050836145761423e-05,-0.0473661430180072,0.04651307053864,0.0363822862829813,1.000099830717738,7.262295573018491,5.855448555839421,-0.2153233686405272,-0.0337094907407407,False,0.3667832811673482,0.3842090213740313,0.3975701067182752,0.3784873485565181,0.37549615127068975,0.38802872763739665,0.0161426737904548,0.0845283931064514,-0.0003394949017092,-0.012886061796564093,-0.011499503554394691
r2_s143000_l9,2,143000,9,0.365704773739,1.0,13824,0.0004760425505983,0.0006478672730736,-0.0454640038311481,0.046149256080389,0.0358137827986744,0.9995239574494016,15.59682961439507,10.663488084864284,-0.3802420860758457,-0.0167100694444444,False,0.3689571420351664,0.3684534551920714,0.3673667377895779,0.3676390471281832,0.3687052986136189,0.36750289245888057,0.0656526386737823,0.1617108130554133,-0.0002476380905136,-0.008418820519269576,0.008978087850554851
r2_s143000_l10,2,143000,10,0.73488173621,1.0,13824,5.633073781290492e-05,0.0001230190318892,-0.0461655683815479,0.0467601105570793,0.0363145830800226,0.9999436692621873,22.95153722808593,22.33431929384393,-0.0272604386453968,0.0240162037037037,True,1.0224928392304315,1.0204156107372708,1.0224942366282146,1.0242124221943043,1.0214542249838512,1.0233533294112593,0.352750688791275,0.156300157292104,-5.357631016522646e-05,0.04868727328365245,0.023793033833218846
