target_id,run_id,step,progress,layer,target_kl,target_nll_damage,selected_beta,match_class,absolute_kl_error,relative_kl_error,absolute_nll_error,relative_nll_error,achieved_kl,achieved_nll_damage,activation_relative_magnitude,activation_absolute_rms,objective,boundary_selected,trial_count,verification_kl_difference,verification_nll_difference
r3_s72000_l3,3,72000,0.5034965034965035,3,1.7865699529647827,1.7594680786132812,0.674128647469,A,0.032096165197866844,0.017965244039051385,0.02893396660133618,0.01644472380773395,1.7544737877669159,1.7884020452146174,0.6741286670720136,0.7110146504861338,0.059317893449599195,False,21,0.0,0.0
r3_s72000_l4,3,72000,0.5034965034965035,4,0.42071168290244204,0.43734224637349434,0.324685111242,A,0.010188008900041956,0.024216130224223455,0.011080918488678815,0.025336949678513954,0.430899691802484,0.4262613278848155,0.32468518062874124,0.35243242647912765,0.12283819820538203,False,21,0.0,0.0
r3_s72000_l5,3,72000,0.5034965034965035,5,0.2777864734331767,0.2731298870510523,0.269183573168,A,0.0023579834787934018,0.008488474797359568,0.00236184508712195,0.008647333005603434,0.2754284899543833,0.27549173213817424,0.26918374829822117,0.30165111356311375,0.014683057249627339,False,21,0.0,0.0
r3_s72000_l6,3,72000,0.5034965034965035,6,0.39168943630324465,0.43180523978339275,0.349443536227,A,0.014172756009631748,0.036183656478861646,0.016382588280571764,0.03793976258544675,0.4058621923128764,0.415422651502821,0.34944362220940767,0.4354915707199662,0.27486825812336824,False,21,0.0,0.0
r3_s72000_l7,3,72000,0.5034965034965035,7,0.2644923726717631,0.3155109087626138,0.310569804383,C,0.020137893932836992,0.07613790042162057,0.032427567022817794,0.1027779582959304,0.2846302666046001,0.283083341739796,0.3105698294109768,0.41834977600309586,1.636028859220341,False,21,0.0,0.0
r3_s72000_l8,3,72000,0.5034965034965035,8,0.3690718511740367,0.4042413499620223,0.391466155654,A,0.015419245870025078,0.04177843913301402,0.01686604817708348,0.04172271881297223,0.38449109704406176,0.38737530178493884,0.39146616282286467,0.6342112708974768,0.3486223241555374,False,21,0.0,0.0
r3_s72000_l9,3,72000,0.5034965034965035,9,0.319050669670105,0.34410704506768114,0.368810393754,A,0.011982064556192495,0.03755536563688855,0.013931963178847095,0.04048729422574415,0.3310327342262975,0.33017508188883404,0.36881047045743026,0.7092180693591082,0.3049626481860733,False,21,0.0,0.0
r3_s72000_l10,3,72000,0.5034965034965035,10,0.4807328250673082,0.5195619265238443,0.492052665603,A,0.016056502306902865,0.03340005397929997,0.017367451279251878,0.03342710539899695,0.49678932737421105,0.5021944752445924,0.4920527968141768,1.1221054483343054,0.2232934981184745,False,21,0.0,0.0
r3_s143000_l1,3,143000,1.0,1,0.8428021934297351,0.8603199587927923,0.692902384351,A,0.00933238974323991,0.011073048712950324,0.007583794770417374,0.00881508640233129,0.8334698036864951,0.8679037535632097,0.692902512020535,0.281928523823067,0.020031815608040838,False,21,0.0,0.0
r3_s143000_l2,3,143000,1.0,2,0.9341029723485311,0.9460280471377903,0.754475145664,A,0.013996554745568157,0.014983952690315175,0.011332035064697155,0.011978540275809232,0.920106417602963,0.9573600822024875,0.7544752580148203,0.3461922760362978,0.03680042653655713,False,21,0.0,0.0
r3_s143000_l3,3,143000,1.0,3,1.7876547045177882,1.8058287567562525,0.681526128789,A,0.0345914540467438,0.01935018768406695,0.03158343279803266,0.017489716386368436,1.7530632504710444,1.8374121895542852,0.6815261708365546,0.3790497062382875,0.06803199426849786,False,21,0.0,0.0
r3_s143000_l4,3,143000,1.0,4,0.5821225576930575,0.6313434176974825,0.381006321887,A,0.017451016991226864,0.02997825244971607,0.01730040267661692,0.0274025232411297,0.5995735746842844,0.6140430150208656,0.3810063589502264,0.2273199674155977,0.16495938999250273,False,21,0.0,0.0
r3_s143000_l5,3,143000,1.0,5,0.519927226834827,0.5389819410112168,0.391832724372,A,0.007059352265463947,0.01357757759374471,0.005038747081049455,0.009348638048218475,0.5269865791002909,0.5339431939301673,0.3918326099713643,0.24123510111261298,0.027174764667178993,False,21,0.0,0.0
r3_s143000_l6,3,143000,1.0,6,0.5446524057123395,0.6484564410315619,0.439430195617,B,0.03521102556475897,0.06464861844985804,0.048279373734084974,0.0744527630216887,0.5798634312770985,0.6001770672974769,0.43943021363682216,0.3142469183162407,0.9722657789071503,False,21,0.0,0.0
r3_s143000_l7,3,143000,1.0,7,0.32963044113583034,0.3853916856977673,0.34368540005,B,0.01746018286104556,0.05296896366982623,0.030096142380325208,0.07809234993162043,0.3470906239968759,0.35529554331744206,0.34368547797203064,0.27573590366928663,0.8904126230146696,False,21,0.0,0.0
r3_s143000_l8,3,143000,1.0,8,0.4659952885574765,0.48299596044752313,0.430339887499,A,0.007254049733832979,0.015566787716401317,0.012219464337384078,0.025299309596785766,0.4732493382913095,0.47077649611013905,0.43033995782887496,0.39173593786027694,0.08823799458852095,False,21,0.0,0.0
r3_s143000_l9,3,143000,1.0,9,0.3501909176508586,0.4008762836456299,0.391649440013,B,0.02075317833158702,0.059262468800572204,0.028119016576696243,0.0701438766117753,0.3709440959824456,0.37275726706893364,0.3916495674186283,0.39702245593070984,0.8432203634511356,False,21,0.0,0.0
r3_s143000_l10,3,143000,1.0,10,0.9711381859249539,1.0564743412865532,0.78055982873,A,0.036216530534956215,0.03729287042752287,0.03404649098714185,0.03222651952497824,1.0073547164599101,1.0224278502994113,0.7805596810800058,0.8341965035155967,0.24293067454226433,False,21,0.0,0.0
r5_s14000_l1,5,14000,0.0979020979020979,1,0.6387513412369622,0.622386932373047,0.631372890605,A,0.0008845351360462494,0.0013847879118843562,0.00037929746839704404,0.000609423894795225,0.637866806100916,0.622766229841444,0.6313729065435904,0.6855368923257898,0.00022890350444556147,False,21,0.0,0.0
r5_s14000_l2,5,14000,0.0979020979020979,2,0.5554652412732443,0.5288314819335939,0.602549156242,A,0.012150944383056084,0.0218752560559535,0.010178989834256025,0.019248078418135795,0.5433142968901882,0.5390104717678499,0.6025490451742102,0.7461481248890912,0.08490153503073593,False,21,0.0,0.0
r5_s14000_l3,5,14000,0.0979020979020979,3,0.4578365882237752,0.45117823282877617,0.543941998153,A,0.005418085389667093,0.01183410310363199,0.0052939167729128545,0.01173353763037186,0.4524185028341081,0.456472149601689,0.5439421004719205,0.7439271498609472,0.02777219015919668,False,21,0.0,0.0
r5_s14000_l4,5,14000,0.0979020979020979,4,0.6056164900461832,0.5590471161736382,0.482595788767,A,0.019709226157930138,0.03254407117678484,0.016698183836760028,0.02986900988063367,0.5859072638882531,0.5757453000103983,0.4825959437423282,0.7779663425904734,0.19512743200157187,False,21,0.0,0.0
r5_s14000_l5,5,14000,0.0979020979020979,5,0.2621959182951185,0.3067978488074406,0.341539469398,B,0.019910233992117443,0.07593647575257541,0.024764846872399826,0.08072040585872094,0.28210615228723596,0.2820330019350408,0.3415394061141544,0.5548523752777664,1.2282132271804558,False,21,0.0,0.0
r5_s14000_l6,5,14000,0.0979020979020979,6,0.24174278808964625,0.29391352335611964,0.359720085635,C,0.02248090284842033,0.09299513348870068,0.034011019600761916,0.11571777716208324,0.2642236909380666,0.2599025037553577,0.35972014511073075,0.6065699789259169,2.203869880407748,False,21,0.0,0.0
r5_s14000_l7,5,14000,0.0979020979020979,7,0.2942386203342014,0.4118157492743599,0.434405196877,C,0.048413658583605745,0.1645387628872516,0.09643515834101918,0.23417064187250883,0.34265227891780714,0.3153805909333407,0.4344054107312803,0.8363886387259872,8.19088940079003,False,21,0.0,0.0
r5_s14000_l8,5,14000,0.0979020979020979,8,0.28133611877759296,0.2636863125695119,0.408687082529,A,0.002241561810175541,0.007967557880257865,0.0016698925583455981,0.006332875385403462,0.2790945569674174,0.2653562051278575,0.4086870661488286,0.8999005909319278,0.010358728922306371,False,21,0.0,0.0
r5_s14000_l9,5,14000,0.0979020979020979,9,0.23736354874240026,0.2960845894283719,0.41622458064,C,0.03351080141685628,0.14117922315478537,0.05463027071069826,0.18450899729696935,0.27087435015925654,0.24145431871767364,0.4162245779125779,1.0432454347610474,5.397514313451962,False,21,0.0,0.0
r5_s14000_l10,5,14000,0.0979020979020979,10,0.25726069344414604,0.21002033021714958,0.396264602468,B,0.01647068449744471,0.06402332310029571,0.011677371131049302,0.055601146417206065,0.24079000894670133,0.22169770134819888,0.39626452657911515,1.119273856834129,0.719047338377375,False,21,0.0,0.0
