run_id,stage,step,progress,layer,alpha,bin_index,bin_low,bin_high,bin_count,bin_agree_count,bin_agreement,bin_damage
1,pilot,14000,0.0979020979020979,4,1.0,0,0.0,0.05,224,71.0,0.3169642857142857,0.6830357142857143
1,pilot,14000,0.0979020979020979,4,1.0,1,0.05,0.1,547,244.0,0.4460694698354662,0.5539305301645339
1,pilot,14000,0.0979020979020979,4,1.0,2,0.1,0.2,1126,667.0,0.5923623445825933,0.4076376554174067
1,pilot,14000,0.0979020979020979,4,1.0,3,0.2,0.4,1277,928.0,0.7267032106499608,0.2732967893500392
1,pilot,14000,0.0979020979020979,4,1.0,4,0.4,1.01,1434,1303.0,0.9086471408647141,0.0913528591352859
1,pilot,14000,0.0979020979020979,5,0.25,0,0.0,0.05,224,169.0,0.7544642857142857,0.2455357142857143
1,pilot,14000,0.0979020979020979,5,0.25,1,0.05,0.1,547,465.0,0.850091407678245,0.14990859232175502
1,pilot,14000,0.0979020979020979,5,0.25,2,0.1,0.2,1126,1004.0,0.8916518650088809,0.10834813499111906
1,pilot,14000,0.0979020979020979,5,0.25,3,0.2,0.4,1277,1233.0,0.9655442443226312,0.034455755677368805
1,pilot,14000,0.0979020979020979,5,0.25,4,0.4,1.01,1434,1429.0,0.9965132496513249,0.0034867503486750717
1,pilot,14000,0.0979020979020979,5,0.5,0,0.0,0.05,224,126.0,0.5625,0.4375
1,pilot,14000,0.0979020979020979,5,0.5,1,0.05,0.1,547,391.0,0.7148080438756855,0.28519195612431447
1,pilot,14000,0.0979020979020979,5,0.5,2,0.1,0.2,1126,895.0,0.7948490230905861,0.20515097690941386
1,pilot,14000,0.0979020979020979,5,0.5,3,0.2,0.4,1277,1155.0,0.9044635865309318,0.09553641346906816
1,pilot,14000,0.0979020979020979,5,0.5,4,0.4,1.01,1434,1416.0,0.9874476987447699,0.012552301255230103
1,pilot,14000,0.0979020979020979,5,0.75,0,0.0,0.05,224,99.0,0.4419642857142857,0.5580357142857143
1,pilot,14000,0.0979020979020979,5,0.75,1,0.05,0.1,547,319.0,0.583180987202925,0.416819012797075
1,pilot,14000,0.0979020979020979,5,0.75,2,0.1,0.2,1126,788.0,0.6998223801065719,0.30017761989342806
1,pilot,14000,0.0979020979020979,5,0.75,3,0.2,0.4,1277,1062.0,0.831636648394675,0.168363351605325
1,pilot,14000,0.0979020979020979,5,0.75,4,0.4,1.01,1434,1394.0,0.9721059972105998,0.02789400278940024
1,pilot,14000,0.0979020979020979,5,1.0,0,0.0,0.05,224,79.0,0.35267857142857145,0.6473214285714286
1,pilot,14000,0.0979020979020979,5,1.0,1,0.05,0.1,547,257.0,0.46983546617915906,0.5301645338208409
1,pilot,14000,0.0979020979020979,5,1.0,2,0.1,0.2,1126,669.0,0.5941385435168739,0.4058614564831261
1,pilot,14000,0.0979020979020979,5,1.0,3,0.2,0.4,1277,971.0,0.7603758809710258,0.23962411902897418
