target_id,run_id,step,layer,selected_beta,target_kl,target_nll_damage,alpha_min,alpha_max,block_alpha,noise_alpha,block_alpha_multiplier,noise_alpha_multiplier,objective,block_kl,block_nll_damage,block_output_logit_norm,block_output_abs_cosine,block_hidden_relative_norm,noise_kl,noise_nll_damage,noise_output_logit_norm,noise_output_abs_cosine,noise_hidden_relative_norm,no_bracket,numerical_issue,pathological,boundary_selected,coordinate_converged,block_evaluations,noise_evaluations,relative_kl_difference,relative_nll_difference,hidden_norm_ratio,output_norm_ratio,absolute_cosine_difference,pass_kl,pass_nll,pass_hidden_norm,pass_output_norm,pass_abs_cosine,block_target_kl_log_error,noise_target_kl_log_error,block_target_nll_log_error,noise_target_nll_log_error,mean_target_log_error,calibration_class,damage_regime
r3_s14000_l8,3,14000,8,0.355654776257,0.1952278746498955,0.2021975252363418,0.044456847032125,0.711309552514,0.3518236676996599,0.3634426017622461,0.9892280131939754,1.0218971486541166,0.2719653556990445,0.2195405960083007,0.2006287574768066,187.97964477539065,0.0026157535612583,0.351823627948761,0.2064340809981028,0.2014226913452148,186.0124918619792,0.002587124860535,0.3634422421455383,False,False,False,False,True,24,26,0.059699733208806456,0.003941630722466448,1.0330239735872326,1.0105753806839546,2.8628700723299857e-05,True,True,True,True,True,0.11736969881602843,0.05581367684674894,0.007788844758985681,0.0038394253366203657,0.04620291143959585,PASS-A,low
r3_s14000_l9,3,14000,9,0.371322893124,0.2099452780352698,0.2110987769232855,0.0464153616405,0.742645786248,0.3225559130180237,0.3825485922934573,0.8686669176368531,1.030231637686041,0.3572995716922387,0.2357787489891052,0.2103044986724853,181.42416381835935,0.0028615933842957,0.3225579857826233,0.2161150077978769,0.2106850941975913,192.99069213867188,0.0025660897760341,0.3825488189856211,False,False,False,False,True,25,23,0.08339912428722282,0.0018064663119881457,1.1859846472480162,1.0637540671367944,0.00029550360826159985,True,True,True,True,True,0.11604694503419419,0.028963793519137183,0.0037696868410457087,0.001961586901097018,0.037685503073868525,PASS-A,low
r3_s14000_l10,3,14000,10,0.443722056922,0.2584894531302982,0.2954315344492597,0.05546525711525,0.887444113844,0.3746427789909642,0.4295366606682486,0.8443185844530173,0.9680308967461472,0.5242676456277604,0.2576974034309387,0.296818733215332,204.08541870117188,0.0029966919682919,0.3746438324451446,0.2607446511586507,0.2417067686716714,212.24414571126303,0.0025968669603268,0.429536501566569,False,False,False,False,True,21,25,0.011686712322462453,0.1856754927381174,1.1465196124089811,1.0399770207103203,0.00039982500796509985,True,False,True,True,True,0.0030688511763079344,0.008686687530225416,0.004684510513906557,0.20071182433862603,0.05428796838976648,FAIL-TRADEOFF,low
r3_s72000_l1,3,72000,1,0.657500841239,0.8216641214158799,0.8519875208536782,0.082187605154875,1.315001682478,0.5280177726189902,0.6792147269772739,0.8030678282083855,1.0330248790212284,0.2696500367563594,0.8619440793991089,0.8494172096252441,313.89959716796875,0.0030700915958732,0.5280170440673828,0.8734270731608073,0.8429811795552569,313.83202107747394,0.0030305449229975,0.679214596748352,False,False,False,False,True,24,22,0.013147054991257668,0.007576995140970594,1.2863497577956742,1.0002153256709203,3.9546672875699716e-05,True,True,False,True,True,0.04785869533688015,0.06109293787170196,0.0030214012430137345,0.010627247641286312,0.03065007052322054,PASS-B,high
r3_s72000_l2,3,72000,2,0.68417864495,0.8010647826724583,0.798615190717909,0.08552233061875,1.3683572899,0.5079496767736889,0.68417864495,0.7424225829363762,1.0,0.2624272392909476,0.8214095830917358,0.7973847389221191,316.78533935546875,0.0029756925068795,0.5079495310783386,0.7982473969459534,0.8060226440429688,295.9715779622396,0.0031302794038007,0.6841781934102377,False,False,False,False,True,24,23,0.02819809583740356,0.010716702793264362,1.3469412836299541,1.070323513955399,0.00015458689692120003,True,True,False,True,True,0.025080047190761835,0.003523250403302963,0.0015419199170671014,0.009232620324558046,0.009844459458922487,PASS-B,high
r3_s72000_l3,3,72000,3,0.674128647469,1.7865699529647827,1.7594680786132812,0.084266080933625,1.348257294938,0.7193899149677939,0.6578997135871474,1.0671404006768237,0.975926058115489,0.1945546320709238,1.8212969303131104,1.747215747833252,406.5112609863281,0.0033585664350539,0.7193890810012817,1.7843441565831502,1.8041659990946453,443.4083658854167,0.0030997556944688,0.6578994194666544,False,False,False,False,True,24,22,0.020289263719127565,0.03156597080865713,1.0934636202968264,1.0907652713225315,0.00025881074058510013,True,True,True,True,True,0.0192512922374934,0.0012466257107309558,0.006988015598538987,0.02508689933428502,0.01314320822026209,PASS-A,high
r3_s72000_l4,3,72000,4,0.324685111242,0.420711682902442,0.4373422463734943,0.04058563890525,0.649370222484,0.3330323498802601,0.3326943763229011,1.0257087200775232,1.0246677928971355,0.1861862777012852,0.4391851723194122,0.4197845458984375,248.64425659179688,0.0029527065344154,0.3330318331718445,0.4352291921774546,0.4208483695983886,256.6046193440755,0.0025472757406532,0.3326944311459859,False,False,False,False,True,27,20,0.00900754486101016,0.0025278075829694023,1.001014149905351,1.03201506787807,0.0004054307937622001,True,True,True,True,True,0.04297336860664825,0.033925010544074194,0.040974467356442126,0.03844345947358533,0.03907907649518748,PASS-A,mid
r3_s72000_l5,3,72000,5,0.269183573168,0.2777864734331767,0.2731298870510523,0.033647946646,0.538367146336,0.2522475702328137,0.2811013481194738,0.93708381705515,1.0442737824274138,0.2206722071298504,0.2779111862182617,0.2888839244842529,208.60519409179688,0.0023816186003386,0.2522469758987427,0.2807559669017792,0.2687741120656333,208.7555694580078,0.0024986260881026,0.2811013559500376,False,False,False,False,True,18,22,0.010132574259811497,0.06961208538869659,1.1143893993114244,1.0007208610833762,0.00011700748776400033,True,True,True,True,True,0.0004488512233686886,0.010633109437818204,0.0560775032652403,0.016076164051552835,0.020808906994495006,PASS-A,low
r3_s72000_l6,3,72000,6,0.349443536227,0.3916894363032446,0.4318052397833927,0.043680442028375,0.698887072454,0.4386846910460363,0.3836591030267843,1.255380757024691,1.0979144361037996,0.8067323967326423,0.5645273923873901,0.4320225715637207,260.6402893066406,0.0030194425489753,0.4386826157569885,0.4518707593282063,0.4318461418151855,263.4417012532552,0.002553318394348,0.3836592336495717,False,False,False,False,True,25,26,0.19955919691116877,0.000408380858195946,1.1434173278819895,1.0107481922847266,0.00046612415462729973,False,True,True,True,True,0.3655196359938187,0.14292693679376,0.0005031831160301162,9.471884766200956e-05,0.1272611186878177,FAIL-TRADEOFF,low
r3_s72000_l8,3,72000,8,0.391466155654,0.3690718511740367,0.4042413499620223,0.04893326945675,0.782932311308,0.3769047780298634,0.3841164725743675,0.9628029718180624,0.9812252401044638,0.2445822708864022,0.3890204131603241,0.4029684066772461,256.99688720703125,0.0025740328710526,0.3769044280052185,0.3898945450782776,0.3798783620198565,257.0673116048177,0.002398807167386,0.3841165800889333,False,False,False,False,True,27,29,0.002241970114708825,0.05729988821650572,1.0191352277866998,1.00027402821315,0.00017522570366660002,True,True,True,True,True,0.052640474518038785,0.054884961610441534,0.0031539369525797186,0.06216099895460463,0.043210093008916164,PASS-A,low
