target_id,run_id,step,layer,family,target_metric,target_value,alpha_min,alpha_max,bracketed,root_alpha,iterations
r3_s143000_l2,3,143000,2,noise,nll_damage,0.9460280471377904,0.094309393208,1.508950291328,True,0.7408113426182829,12
r3_s143000_l3,3,143000,3,block,kl,1.7876547045177882,0.085190766098625,1.363052257578,True,0.7411999166166878,10
r3_s143000_l3,3,143000,3,block,nll_damage,1.8058287567562523,0.085190766098625,1.363052257578,True,0.7422040348877574,11
r3_s143000_l3,3,143000,3,noise,kl,1.7876547045177882,0.085190766098625,1.363052257578,True,0.6615270817344986,10
r3_s143000_l3,3,143000,3,noise,nll_damage,1.8058287567562523,0.085190766098625,1.363052257578,True,0.6438558469201107,10
r3_s143000_l4,3,143000,4,block,kl,0.5821225576930575,0.047625790235875,0.762012643774,True,0.3861994704213743,10
r3_s143000_l4,3,143000,4,block,nll_damage,0.6313434176974825,0.047625790235875,0.762012643774,True,0.3738530196748901,10
r3_s143000_l4,3,143000,4,noise,kl,0.5821225576930575,0.047625790235875,0.762012643774,True,0.3861994704213743,10
r3_s143000_l4,3,143000,4,noise,nll_damage,0.6313434176974825,0.047625790235875,0.762012643774,True,0.3946561376353323,10
r3_s143000_l5,3,143000,5,block,kl,0.519927226834827,0.0489790905465,0.783665448744,True,0.2816054765136778,9
r3_s143000_l5,3,143000,5,block,nll_damage,0.5389819410112168,0.0489790905465,0.783665448744,True,0.2834221937383324,13
r3_s143000_l5,3,143000,5,noise,kl,0.519927226834827,0.0489790905465,0.783665448744,True,0.3913026189303011,11
r3_s143000_l5,3,143000,5,noise,nll_damage,0.5389819410112168,0.0489790905465,0.783665448744,True,0.3982502841241813,9
r3_s143000_l8,3,143000,8,block,kl,0.4659952885574765,0.053792485937375,0.860679774998,True,0.4385740092185,10
r3_s143000_l8,3,143000,8,block,nll_damage,0.4829959604475231,0.053792485937375,0.860679774998,True,0.4667545439742251,9
r3_s143000_l8,3,143000,8,noise,kl,0.4659952885574765,0.053792485937375,0.860679774998,True,0.4211185911084853,7
r3_s143000_l8,3,143000,8,noise,nll_damage,0.4829959604475231,0.053792485937375,0.860679774998,True,0.430339887499,2
r3_s143000_l10,3,143000,10,block,kl,0.971138185924954,0.09756997859125,1.56111965746,True,0.7731976977516274,11
r3_s143000_l10,3,143000,10,block,nll_damage,1.0564743412865532,0.09756997859125,1.56111965746,True,0.7911989255053099,10
