run_id,stage,step,progress,layer,alpha,bin_index,bin_low,bin_high,bin_count,bin_agree_count,bin_agreement,bin_damage
1,pilot,14000,0.0979020979020979,7,0.75,3,0.2,0.4,1372,1164.0,0.8483965014577259,0.15160349854227406
1,pilot,14000,0.0979020979020979,7,0.75,4,0.4,1.01,1847,1790.0,0.969139144558744,0.030860855441256052
1,pilot,14000,0.0979020979020979,7,1.0,0,0.0,0.05,110,42.0,0.38181818181818183,0.6181818181818182
1,pilot,14000,0.0979020979020979,7,1.0,1,0.05,0.1,397,182.0,0.45843828715365237,0.5415617128463477
1,pilot,14000,0.0979020979020979,7,1.0,2,0.1,0.2,882,516.0,0.5850340136054422,0.41496598639455784
1,pilot,14000,0.0979020979020979,7,1.0,3,0.2,0.4,1372,1061.0,0.7733236151603499,0.22667638483965014
1,pilot,14000,0.0979020979020979,7,1.0,4,0.4,1.01,1847,1743.0,0.9436924742826205,0.056307525717379514
1,pilot,14000,0.0979020979020979,8,0.25,0,0.0,0.05,110,87.0,0.7909090909090909,0.2090909090909091
1,pilot,14000,0.0979020979020979,8,0.25,1,0.05,0.1,397,331.0,0.8337531486146096,0.16624685138539042
1,pilot,14000,0.0979020979020979,8,0.25,2,0.1,0.2,882,771.0,0.8741496598639455,0.12585034013605445
1,pilot,14000,0.0979020979020979,8,0.25,3,0.2,0.4,1372,1300.0,0.9475218658892128,0.05247813411078717
1,pilot,14000,0.0979020979020979,8,0.25,4,0.4,1.01,1847,1832.0,0.991878722252301,0.008121277747698996
1,pilot,14000,0.0979020979020979,8,0.5,0,0.0,0.05,110,72.0,0.6545454545454545,0.34545454545454546
1,pilot,14000,0.0979020979020979,8,0.5,1,0.05,0.1,397,280.0,0.7052896725440806,0.2947103274559194
1,pilot,14000,0.0979020979020979,8,0.5,2,0.1,0.2,882,689.0,0.7811791383219955,0.21882086167800452
1,pilot,14000,0.0979020979020979,8,0.5,3,0.2,0.4,1372,1202.0,0.8760932944606414,0.12390670553935856
1,pilot,14000,0.0979020979020979,8,0.5,4,0.4,1.01,1847,1797.0,0.9729290741743367,0.027070925825663283
1,pilot,14000,0.0979020979020979,8,0.75,0,0.0,0.05,110,57.0,0.5181818181818182,0.4818181818181818
1,pilot,14000,0.0979020979020979,8,0.75,1,0.05,0.1,397,238.0,0.5994962216624685,0.4005037783375315
1,pilot,14000,0.0979020979020979,8,0.75,2,0.1,0.2,882,611.0,0.6927437641723356,0.30725623582766437
1,pilot,14000,0.0979020979020979,8,0.75,3,0.2,0.4,1372,1106.0,0.8061224489795918,0.19387755102040816
1,pilot,14000,0.0979020979020979,8,0.75,4,0.4,1.01,1847,1763.0,0.9545208446128858,0.04547915538711422
1,pilot,14000,0.0979020979020979,8,1.0,0,0.0,0.05,110,41.0,0.37272727272727274,0.6272727272727272
1,pilot,14000,0.0979020979020979,8,1.0,1,0.05,0.1,397,192.0,0.4836272040302267,0.5163727959697733
1,pilot,14000,0.0979020979020979,8,1.0,2,0.1,0.2,882,532.0,0.6031746031746031,0.39682539682539686
1,pilot,14000,0.0979020979020979,8,1.0,3,0.2,0.4,1372,1020.0,0.7434402332361516,0.2565597667638484
1,pilot,14000,0.0979020979020979,8,1.0,4,0.4,1.01,1847,1698.0,0.9193286410395235,0.0806713589604765
