target_id,run_id,step,layer,family_residual,block_ds,noise_ds,corrected_topk_residual,corrected_argmax_residual,topk_correction,argmax_correction
r6_s72000_l1,6,72000,1,0.013454861111111,0.4266493055555556,0.4401041666666666,0.01403356481481477,0.013671875,0.0005787037037037687,0.00021701388888899914
r6_s72000_l2,6,72000,2,0.0089699074074073,0.3904079861111111,0.3993778935185185,0.009114583333333315,0.00940393518518523,0.00014467592592601504,0.0004340277777779306
r6_s72000_l3,6,72000,3,-0.0145399305555555,0.4294704861111111,0.4149305555555556,-0.013888888888888895,-0.014105902777777735,0.0006510416666666054,0.00043402777777776583
r6_s72000_l4,6,72000,4,-0.0594618055555555,0.6692708333333334,0.6098090277777778,-0.05902777777777779,-0.05989583333333337,0.00043402777777770685,-0.0004340277777778734
r6_s72000_l5,6,72000,5,-0.0329861111111111,0.3103298611111111,0.27734375,-0.03291377314814814,-0.031467013888888895,7.233796296295808e-05,0.001519097222222203
r6_s72000_l6,6,72000,6,-0.0447771990740741,0.2706163194444445,0.2258391203703703,-0.044126157407407385,-0.04390914351851852,0.0006510416666667129,0.0008680555555555802
r6_s72000_l9,6,72000,9,-0.0228587962962963,0.3396267361111111,0.3167679398148147,-0.022135416666666685,-0.021556712962962965,0.0007233796296296155,0.0013020833333333356
r6_s143000_l1,6,143000,1,-0.0053530092592592,0.4500868055555555,0.4447337962962963,0.012731481481481455,0.008969907407407385,0.018084490740740655,0.014322916666666585
r6_s143000_l2,6,143000,2,-0.0117910879629629,0.447265625,0.4354745370370371,0.00499131944444442,0.001880787037037035,0.016782407407407322,0.013671874999999936
r6_s143000_l3,6,143000,3,-0.0149016203703704,0.4893663194444445,0.474464699074074,0.0018084490740741255,0.003544560185185175,0.016710069444444524,0.018446180555555573
r6_s143000_l4,6,143000,4,-0.0580873842592593,0.697482638888889,0.6393952546296297,-0.04441550925925919,-0.04810474537037035,0.013671875000000111,0.00998263888888895
r6_s143000_l5,6,143000,5,-0.0524450231481481,0.4548611111111111,0.4024160879629629,-0.03935185185185186,-0.03139467592592593,0.013093171296296238,0.021050347222222168
r6_s143000_l8,6,143000,8,-0.0455005787037037,0.3702256944444444,0.3247251157407407,-0.02756076388888884,-0.03334780092592593,0.01793981481481486,0.01215277777777777
r6_s143000_l9,6,143000,9,-0.0528790509259259,0.3804253472222222,0.3275462962962963,-0.034939236111111105,-0.02987557870370372,0.017939814814814797,0.023003472222222182
r8_s14000_l1,8,14000,1,0.0,0.3402777777777778,0.3402777777777778,0.0008680555555555247,-0.0008680555555555247,0.0008680555555555247,-0.0008680555555555247
r8_s14000_l2,8,14000,2,-0.0146122685185185,0.3865017361111111,0.3718894675925925,-0.01439525462962965,-0.013744212962962965,0.00021701388888884995,0.0008680555555555351
r8_s14000_l4,8,14000,4,-0.0247395833333333,0.5716145833333334,0.546875,-0.02466724537037046,-0.02517361111111116,7.233796296284012e-05,-0.0004340277777778595
r8_s14000_l6,8,14000,6,-0.0167824074074073,0.2543402777777777,0.2375578703703703,-0.016782407407407413,-0.017433449074074042,-1.1102230246251565e-16,-0.0006510416666667407
r8_s14000_l9,8,14000,9,-0.0265480324074073,0.2630208333333333,0.2364728009259259,-0.026114004629629622,-0.02719907407407407,0.0004340277777776791,-0.0006510416666667684
r8_s72000_l1,8,72000,1,0.0031828703703704,0.4383680555555555,0.4415509259259259,0.003978587962962965,0.00209780092592593,0.0007957175925925649,-0.00108506944444447
r8_s72000_l2,8,72000,2,-0.0073784722222221,0.4240451388888888,0.4166666666666666,-0.00658275462962965,-0.006293402777777735,0.0007957175925924495,0.0010850694444443651
r8_s72000_l4,8,72000,4,-0.0511429398148147,0.620876736111111,0.5697337962962963,-0.05034722222222232,-0.05114293981481488,0.0007957175925923793,-1.8041124150158794e-16
r8_s72000_l5,8,72000,5,-0.027199074074074,0.3064236111111111,0.2792245370370371,-0.026692708333333315,-0.02611400462962965,0.0005063657407406857,0.0010850694444443504
