target_id,run_id,step,progress,layer,target_kl,target_nll_damage
r8_s14000_l10,8,14000,0.0979020979020979,10,0.28832231627570254,0.31545103920830614
r8_s72000_l1,8,72000,0.5034965034965035,1,0.741052296426561,0.7441590627034506
r8_s72000_l2,8,72000,0.5034965034965035,2,0.6622003846698337,0.6189210679796009
r8_s72000_l3,8,72000,0.5034965034965035,3,0.6975903709729513,0.6404398547278509
r8_s72000_l4,8,72000,0.5034965034965035,4,1.43933990266588,1.4285152753194172
r8_s72000_l5,8,72000,0.5034965034965035,5,0.297220915555954,0.319316969977485
r8_s72000_l6,8,72000,0.5034965034965035,6,0.32367729478412205,0.3561698860592311
r8_s72000_l7,8,72000,0.5034965034965035,7,0.3421697583463457,0.3360793325636123
r8_s72000_l8,8,72000,0.5034965034965035,8,0.5807838241259257,0.7138565911187067
r8_s72000_l9,8,72000,0.5034965034965035,9,0.30478105942408246,0.29945537779066306
r8_s72000_l10,8,72000,0.5034965034965035,10,0.4546317756175995,0.48912805981106217
r8_s143000_l1,8,143000,1.0,1,0.6980229881074694,0.6730988290574818
r8_s143000_l2,8,143000,1.0,2,0.7849934034877353,0.7439439031812881
r8_s143000_l3,8,143000,1.0,3,0.9562838276227316,0.9007845454745823
r8_s143000_l4,8,143000,1.0,4,1.8047940333684285,1.764314068688287
r8_s143000_l5,8,143000,1.0,5,0.44762351446681553,0.4831451045142279
r8_s143000_l6,8,143000,1.0,6,0.4478689365916782,0.4873672591315377
r8_s143000_l7,8,143000,1.0,7,0.45761813057793505,0.47159806887308786
r8_s143000_l8,8,143000,1.0,8,0.7230100499259101,0.8426271544562448
r8_s143000_l9,8,143000,1.0,9,0.4151734941535526,0.4186571968926325
r8_s143000_l10,8,143000,1.0,10,0.9103376732932197,0.9312289555867513
