run_id,step,layer,reason,closest_beta,closest_score,absolute_kl_gap,absolute_nll_gap,relative_kl_gap,relative_nll_gap,kl_caliper,nll_caliper
3,143000,10,no_joint_caliper_match,0.75,1.3837312666359303,0.03274341203548292,0.10451721262048796,0.03429468118594899,0.10407844547750447,0.09547664799072125,0.10042157349763092
5,14000,1,no_joint_caliper_match,0.75,9.4204477996817,0.38449511704621486,0.39239122249461966,0.4626902841348714,0.4793544958321564,0.08309988997600698,0.0818582543620357
5,14000,2,no_joint_caliper_match,0.5,9.98243762074073,0.22544721431202364,0.20780566003587525,0.509207169461318,0.4890365926104541,0.044274163411723244,0.04249286519156562
5,14000,3,no_joint_caliper_match,0.5,4.451407185178109,0.09475223223368323,0.08732896380954325,0.2308437442150762,0.21429697430164646,0.04104604721069336,0.040751375092400455
5,14000,4,no_joint_caliper_match,0.5,1.3870973548934065,0.022510782436088284,0.06022253742924433,0.036491827751846666,0.10221790773726135,0.06168718812642274,0.05891583848882605
5,14000,5,no_joint_caliper_match,0.35,1.5520027067261046,0.032630400525199055,0.011452798490170724,0.11716013599047624,0.038040134681587214,0.027851111855771805,0.030107144956235524
5,14000,6,no_joint_caliper_match,0.35,2.1449712069675244,0.009889034761322829,0.04714971118503147,0.04008732732488753,0.17440979337105728,0.024668730547030768,0.027033866776360396
5,14000,7,no_joint_caliper_match,0.5,3.9929881049326283,0.14302394787470502,0.0033861884364377315,0.3910422843171785,0.008256526174995005,0.03657505942715539,0.0410122655056141
5,14000,8,no_joint_caliper_match,0.35,5.55512551498743,0.0681040838912681,0.06478621341564,0.27540828654839994,0.2801042649480183,0.024728407683195893,0.02312932058616919
5,14000,9,no_joint_caliper_match,0.5,5.823189211391241,0.13538551716892808,0.044063541624281055,0.4438050088353698,0.1385139123018641,0.03050563073268643,0.031811636024051244
5,14000,10,no_joint_caliper_match,0.35,4.802270683588168,0.06588995953400928,0.03582599427964964,0.2937376006950242,0.1864894676615124,0.02243157136771414,0.019210733307732476
5,72000,1,no_joint_caliper_match,0.75,5.377797335262239,0.26151030372690276,0.2663179856759529,0.2699278072511319,0.26785192627454396,0.09688157229511828,0.09942731768996627
5,72000,2,no_joint_caliper_match,0.75,5.794936492360648,0.24926694675728123,0.28571648067898237,0.26963816677078717,0.30985548246465,0.09244497904071103,0.09220959345499675
5,72000,3,no_joint_caliper_match,0.5,2.4520524078635786,0.02709911156583711,0.10496676409686073,0.04902455196923286,0.19618068881666967,0.05527661238555555,0.05350514606193259
