target_id,run_id,step,progress,layer,selected_beta,match_class,target_kl,target_nll_damage,achieved_kl,achieved_nll_damage,relative_kl_error,relative_nll_error
r5_s143000_l8,5,143000,1.0,8,0.458203932499,A,0.5062560439109802,0.4645285606384279,0.49216005978760896,0.4743560508445457,0.027843586842830958,0.021155836344250077
r5_s143000_l9,5,143000,1.0,9,0.477344238099,A,0.4552549189991421,0.46971874766879607,0.4700069725513458,0.4556427796681728,0.03240394103726117,0.029966800495939392
r5_s143000_l10,5,143000,1.0,10,0.710123311225,A,0.8987416625022888,0.9176686339908176,0.9134297260531673,0.9031211093620017,0.016342920511737972,0.015852698991720714
r6_s14000_l1,6,14000,0.0979020979020979,1,0.620363203761,A,0.5865197479724884,0.6223341888851589,0.5767551726765103,0.6333121900205261,0.016648331671211603,0.01764004184795854
r6_s14000_l2,6,14000,0.0979020979020979,2,0.564408561834,A,0.4509906868139903,0.48199033737182645,0.4407405224111345,0.4932852409504078,0.022728106594051976,0.02343387969175117
r6_s14000_l3,6,14000,0.0979020979020979,3,0.574911663169,A,0.4482773906654782,0.48837253782484275,0.44177550739712185,0.4953566480565956,0.014504151678695367,0.014300784116250754
r6_s14000_l4,6,14000,0.0979020979020979,4,0.701033003106,A,1.0445287028948467,1.0565301047431097,1.004846160058622,1.0944558426185886,0.03799085915610449,0.03589650470458151
r6_s14000_l5,6,14000,0.0979020979020979,5,0.336881039375,A,0.26503551999727887,0.2909433576795791,0.26222678025563556,0.2939714502405235,0.010597597415099481,0.010407842217415125
r6_s14000_l6,6,14000,0.0979020979020979,6,0.279007018722,B,0.1680924081140094,0.19716986020406072,0.17860037253962624,0.18384320647628227,0.06251302211357007,0.06758971028289236
r6_s14000_l7,6,14000,0.0979020979020979,7,0.442309263706,C,0.2799248728487227,0.38871230019463443,0.3117869253511782,0.3314750724368625,0.11382358480005669,0.14724830608387005
r6_s14000_l8,6,14000,0.0979020979020979,8,0.403068963143,A,0.2307179205947452,0.27101831965976303,0.24150457812680137,0.2576348869888867,0.04675257779804689,0.04938202217336649
r6_s14000_l9,6,14000,0.0979020979020979,9,0.37324227185,A,0.21340440213680267,0.2137982315487331,0.21077705478226696,0.215948590525874,0.012311589302825807,0.010057889448167419
r6_s14000_l10,6,14000,0.0979020979020979,10,0.498263905633,C,0.3138347069422404,0.4052749474843343,0.34478808332372596,0.3547727266947427,0.09862955146985612,0.12461224436138908
r6_s72000_l1,6,72000,0.5034965034965035,1,0.642016008731,A,0.7643024126688639,0.7929642995198569,0.7706566629586397,0.7862598101298008,0.008313790699127948,0.008454970033464583
r6_s72000_l2,6,72000,0.5034965034965035,2,0.589986659391,A,0.5691659980350071,0.5819150341881646,0.5700084368387858,0.5801390541924372,0.0014801284804180459,0.0030519575735005085
r6_s72000_l3,6,72000,0.5034965034965035,3,0.648777101839,A,0.6611291766166687,0.652304967244466,0.6451545777144255,0.6669001579284668,0.024162598577132974,0.02237479617184731
r6_s72000_l4,6,72000,0.5034965034965035,4,0.729123600034,A,1.7777680026160347,1.7505127059088814,1.724853060863636,1.7968071301778155,0.02976481839840917,0.02644620865226518
r6_s72000_l5,6,72000,0.5034965034965035,5,0.285218258752,A,0.32503095600340104,0.32531163427564813,0.32057441605461967,0.32829937228450046,0.013711124637374618,0.009184233498121756
r6_s72000_l6,6,72000,0.5034965034965035,6,0.22985673747,A,0.22372630735238394,0.2139054139455158,0.2187657372819053,0.21829601570411938,0.022172493387839477,0.02052590291006567
